timestamp,macd,signal,hist
2023-03-21 01:00:00,-0.7930479034498035,-0.599608194561493,-0.19343970888831052
2023-03-21 02:00:00,-0.7601650997258957,-0.6317195755943735,-0.12844552413152222
2023-03-21 03:00:00,-0.7337165771532455,-0.652118975906148,-0.08159760124709747
2023-03-21 04:00:00,-0.6966561497570183,-0.6610264106763221,-0.03562973908069622
2023-03-21 05:00:00,-0.9069745482384519,-0.7102160381887481,-0.1967585100497038
2023-03-21 06:00:00,-1.1092812758437276,-0.7900290857197441,-0.31925219012398354
2023-03-21 07:00:00,-1.4625497231032227,-0.9245332131964399,-0.5380165099067828
2023-03-21 08:00:00,-1.4753663159919483,-1.0346998337555418,-0.4406664822364066
2023-03-21 09:00:00,-1.3967996430017138,-1.1071197956047762,-0.28967984739693753
2023-03-21 10:00:00,-1.1438280371774567,-1.1144614439193123,-0.02936659325814439
2023-03-21 11:00:00,-0.9325958327604553,-1.078088321687541,0.14549248892708566
2023-03-21 12:00:00,-0.5889512756501176,-0.9802609124800563,0.3913096368299387
2023-03-21 13:00:00,-0.33693401551352054,-0.8515955330867492,0.5146615175732286
2023-03-21 14:00:00,-0.2632802189334029,-0.7339324702560799,0.47065225132267696
2023-03-21 15:00:00,0.0048334988308624816,-0.5861792764386915,0.591012775269554
2023-03-21 16:00:00,0.19888460535463537,-0.42916650008002616,0.6280511054346616
2023-03-21 17:00:00,0.2609031690942629,-0.2911525662451684,0.5520557353394313
2023-03-21 18:00:00,0.37033762023963845,-0.158854528948207,0.5291921491878455
2023-03-21 19:00:00,0.5076969466898618,-0.02554423382059326,0.533241180510455
2023-03-21 20:00:00,0.5855973084763377,0.09668407463879294,0.4889132338375448
2023-03-21 21:00:00,0.5841164260186815,0.19417054491477065,0.3899458811039109
2023-03-21 22:00:00,0.4566414733693591,0.24666473060568836,0.20997674276367076
2023-03-21 23:00:00,0.27179196376238224,0.25169017723702714,0.020101786525355103
2023-03-22 00:00:00,-0.05162907041693643,0.19102632770623443,-0.24265539812317086
2023-03-22 01:00:00,-0.10500305365815166,0.13182045143335722,-0.23682350509150887
2023-03-22 02:00:00,-0.12966924504479493,0.07952251213772679,-0.20919175718252173
